TICKER,CUR_MKT_CAP,TRADE_DATE
SHP,3643.42867,2025-07-29
VCF,8664.7983,2025-07-29
VCP,2295.83663,2025-07-29
VPG,734.7348900000001,2025-07-29
APH,1602.31964,2025-07-29
FMC,2429.1972299999998,2025-07-29
NTC,3931.1967200000004,2025-07-29
PAN,6893.52675,2025-07-29
SBS,938.28864,2025-07-29
VNL,318.16096000000005,2025-07-29
C47,299.46029999999996,2025-07-29
CRE,4080.3701499999997,2025-07-29
DRI,951.6,2025-07-29
IDP,13164.35254,2025-07-29
KSF,19590.0,2025-07-29
PDN,5400.9977,2025-07-29
PDR,18734.40446,2025-07-29
STK,2420.75495,2025-07-29
VCG,15935.44448,2025-07-29
BMI,2732.4420499999997,2025-07-29
CC1,12284.860470000001,2025-07-29
E1V,6229.44,2025-07-29
PTL,328.0,2025-07-29
VHM,378292.64557,2025-07-29
VPD,2734.02398,2025-07-29
CVT,1062.20118,2025-07-29
HII,326.32716,2025-07-29
HND,5950.0,2025-07-29
HTI,551.3773199999999,2025-07-29
L18,1363.04583,2025-07-29
PLX,46376.61658,2025-07-29
PTI,2821.8558199999998,2025-07-29
QNS,17941.229870000003,2025-07-29
THD,11472.99917,2025-07-29
VC7,941.6874499999999,2025-07-29
VGI,222806.97984,2025-07-29
ABI,2019.72982,2025-07-29
DCM,19005.46,2025-07-29
FUE,948.64,2025-07-29
LLM,1411.15204,2025-07-29
PGV,21177.37267,2025-07-29
QTP,5895.0,2025-07-29
SHI,2532.24828,2025-07-29
SMB,1259.52855,2025-07-29
TRA,2860.08726,2025-07-29
VCI,30240.81,2025-07-29
VSH,11552.19693,2025-07-29
ACL,601.90823,2025-07-29
AGM,65.52,2025-07-29
DQC,336.20840999999996,2025-07-29
EIB,50852.27257,2025-07-29
GHC,1458.4725,2025-07-29
OGC,1299.0,2025-07-29
PGD,2613.5290099999997,2025-07-29
VBB,9277.661259999999,2025-07-29
VLB,2130.45754,2025-07-29
CCL,431.36947,2025-07-29
FUC,,2025-07-29
HAP,753.29823,2025-07-29
HHC,1729.5525,2025-07-29
OIL,12410.754,2025-07-29
PTB,3581.20456,2025-07-29
SBM,1490.98794,2025-07-29
DCL,1559.42599,2025-07-29
DTD,1160.33736,2025-07-29
DTT,147.54794,2025-07-29
HPW,1395.0904699999999,2025-07-29
MDG,149.70932000000002,2025-07-29
MSN,103848.98675,2025-07-29
SEA,5024.6181,2025-07-29
SSB,56615.5,2025-07-29
TDH,529.468,2025-07-29
VEA,50760.16,2025-07-29
VRC,637.5,2025-07-29
ACC,1459.4998999999998,2025-07-29
BCF,1446.45774,2025-07-29
DNP,2960.28676,2025-07-29
HAX,1762.01077,2025-07-29
HCM,27268.90594,2025-07-29
ND2,1904.7698799999998,2025-07-29
PPC,3558.8049,2025-07-29
VCA,151.87322,2025-07-29
VID,241.34117,2025-07-29
BTP,710.7058000000001,2025-07-29
CDC,879.54864,2025-07-29
FIR,663.58951,2025-07-29
HRT,,2025-07-29
NAF,1254.2374499999999,2025-07-29
NKG,7183.51264,2025-07-29
TPC,191.39413000000002,2025-07-29
CTD,7982.5421,2025-07-29
DIG,14027.55684,2025-07-29
DPM,15496.8367,2025-07-29
DTL,630.56223,2025-07-29
IDI,1964.11148,2025-07-29
IMP,7854.45706,2025-07-29
LIX,2112.48,2025-07-29
MPC,6014.0745,2025-07-29
PSH,214.48863,2025-07-29
RTB,2963.7465,2025-07-29
SGR,2260.45589,2025-07-29
VGR,4604.6,2025-07-29
BWS,3420.25886,2025-07-29
CAP,600.10962,2025-07-29
CMV,144.52070999999998,2025-07-29
DNA,1391.3403,2025-07-29
KSV,32820.0,2025-07-29
POW,34074.23178,2025-07-29
TIG,1781.1770900000001,2025-07-29
TMG,1044.0,2025-07-29
TVT,331.8,2025-07-29
VCW,3375.0,2025-07-29
VPL,154223.83242,2025-07-29
FUE,2157.1,2025-07-29
GMD,23656.827,2025-07-29
HDC,5769.78315,2025-07-29
NBB,2443.899,2025-07-29
REE,36182.76369,2025-07-29
SHS,17710.35196,2025-07-29
STB,90490.35437,2025-07-29
VIX,36677.7451,2025-07-29
AIC,1170.0,2025-07-29
BMP,11730.67242,2025-07-29
CST,659.8403000000001,2025-07-29
DPR,3397.23994,2025-07-29
GIL,1955.7272,2025-07-29
HRC,992.2875300000001,2025-07-29
LEC,107.01,2025-07-29
NTL,2439.598,2025-07-29
TCM,3461.9975299999996,2025-07-29
TLH,667.1809000000001,2025-07-29
VNZ,11486.39683,2025-07-29
ADS,702.83149,2025-07-29
GAS,159301.75849,2025-07-29
ADG,215.94326,2025-07-29
CSM,1367.85346,2025-07-29
DXV,37.62,2025-07-29
HMC,318.04499,2025-07-29
MSB,35880.0,2025-07-29
NSC,1462.19973,2025-07-29
PIT,102.02942,2025-07-29
PNC,306.70157,2025-07-29
TCD,943.656,2025-07-29
TTE,1138.19148,2025-07-29
DAG,84.43975999999999,2025-07-29
FCN,2330.09727,2025-07-29
KMR,179.16509,2025-07-29
MSH,4129.52143,2025-07-29
OCH,1240.0,2025-07-29
SBA,1784.4036999999998,2025-07-29
SGP,6034.6294100000005,2025-07-29
SLS,1865.36552,2025-07-29
SVT,216.38722,2025-07-29
VEF,30271.410789999998,2025-07-29
VHC,12277.587800000001,2025-07-29
VPH,543.53946,2025-07-29
CMF,2592.0,2025-07-29
ELC,2383.74635,2025-07-29
FUE,104.91,2025-07-29
FUE,335.874,2025-07-29
LAS,2302.27056,2025-07-29
SNZ,13026.61628,2025-07-29
VJC,64072.62081,2025-07-29
DSE,8667.45,2025-07-29
FUE,,2025-07-29
ITA,2158.13962,2025-07-29
ITD,342.45964000000004,2025-07-29
KHG,2966.27235,2025-07-29
KPF,73.04069,2025-07-29
ORS,3679.19719,2025-07-29
PRT,2880.0,2025-07-29
PVP,1633.3136200000001,2025-07-29
SAM,3001.6916699999997,2025-07-29
TEG,745.37649,2025-07-29
VCB,509696.18073,2025-07-29
TMP,4473.0,2025-07-29
AAM,76.81619,2025-07-29
BMC,218.11029000000002,2025-07-29
EVF,10457.779779999999,2025-07-29
FUE,,2025-07-29
BIC,4796.62501,2025-07-29
DBD,5164.16766,2025-07-29
DBT,261.76579,2025-07-29
